"subject","body"
"URGENT: Checkout 500 errors","Guys, the checkout page is throwing 500 Internal Server Errors for all users in the EU region. Traffic is dropping fast. Can someone jump on the bridge?"
"Re: Friday lunch?","Sounds good to me. Are there any vegetarian options at that place? Also, Dave said he might run a bit late."
"Help - Locked out again","Hi IT, I swear I typed the right password but it says my account is locked. Can you unlock it? I have a meeting in 10 mins."
"Q3 Budget Review","Attached is the preliminary budget deck for Q3. Please review slide 4 specifically—I think the projections are a bit optimistic."
"AC in Server Room","Security just pinged me saying the temp in the server room is rising. Is the AC unit broken again? We need facilities there ASAP."
"Phishing email??","I just got an email from 'CEO' asking for gift cards. Pretty sure this is spam but wanted to double-check before I delete it."
"Wi-Fi is terrible today","Is anyone else having issues with the guest network? Client can't connect and we have a demo in 20 minutes."
"Jira access for the intern","Hey, can we get Sarah (new intern) added to the Engineering board on Jira? She can't see the backlog."
"Expense report rejected","Hi Finance, my travel expense report was rejected because of a missing receipt, but I attached it on page 3. Can you take another look?"
"Slack integration failing","The bot that posts deployment updates to Slack has stopped working. It’s annoying but not critical. Take a look when you can."
"FW: Client Complaint - Latency","See below. The guys at Acme Corp are saying the dashboard takes 10+ seconds to load. This is the third time they've complained this week."
"Printer on 3rd floor","Paper jam in the big Xerox machine on the 3rd floor. I tried to fix it but I think I made it worse. Sorry!"
"Prod DB CPU at 99%","Alerts are firing off. The primary database CPU is pegged at 99%. Looks like a bad query from the new release. Rolling back now?"
"Happy Hour this Thursday!","Hey team, we're heading to O'Reilly's after work on Thursday to celebrate the launch. First round is on me!"
"Need admin rights","I'm trying to install Docker for the new project but I don't have admin privileges on this laptop. Can someone remote in?"
"Missing monitor cable","I just moved to the new desk but I can't find an HDMI cable for the second monitor. Does IT have spares?"
"Payroll discrepancy","Hi HR, I think my overtime from last weekend wasn't calculated in this month's slip. Can we discuss?"
"Security patch compliance","Action required: All employees must restart their machines by EOD to apply the latest OS security patch. Do not ignore."
"Website typo","Small thing - there is a typo on the 'About Us' page. It says 'profesional' instead of 'professional'. Can marketing fix it?"
"VPN down?","I can't access the internal wiki from home. Is the VPN gateway acting up or is it just my internet?"
"Key card not working","My badge isn't opening the side door anymore. It works on the main entrance though. Weird. Can you reset it?"
"Left my charger","Did anyone see a Mac charger in Conference Room B? I think I left it there after the stand-up."
"AWS Bill spike","Who spun up the extra GPU instances in us-east-1? The forecasted bill just jumped by $2k. We need to shut these down if not in use."
"Sick leave","Hi team, waking up with a fever today. Taking a sick day. I'll be checking emails sporadically."
"Meeting reschedule","So sorry, but can we push our 1:1 to tomorrow? A client fire drill just came up."
"New coffee machine instructions","Please read the instructions before using the new espresso machine. Someone already jammed the capsule slot."
"API tokens expired","Our integration with the payment provider failed last night. Looks like the API tokens expired. We need to rotate them immediately."
"Clean desk policy reminder","Just a friendly reminder to clear your desks before leaving on Friday. The cleaning crew can't wipe down cluttered surfaces."
"Laptop battery swollen","My trackpad is popping out and the laptop isn't sitting flat. I think the battery is swollen. Is this dangerous?"
"FW: Vendor Contract","Forwarding the revised contract from the vendor. Legal needs to sign off on the liability clause before we proceed."
"Git merge conflict hell","I messed up the merge on the 'feature-login' branch. Can a senior dev help me untangle this mess?"
"Unidentified person in lobby","There is a guy in the lobby asking for 'Steve' but won't say which Steve. He doesn't have an appointment. Security?"
"Code freeze dates","Reminder: Code freeze for the holiday release starts next Monday. Get your PRs in by Friday afternoon."
"Broken chair"," The gas lift on my chair is broken, it keeps sinking. Can I swap it with one from the empty cubicle?"
"Feedback on design mockups","I added some comments to the Figma file. Overall looks great, just some tweaks on the font size."
"Fire drill testing","Heads up: We will be testing the fire alarm system tomorrow at 11 AM. It will be loud."
"Data breach in news","Did you see the news about our competitor getting hacked? We should probably double-check our own logs just to be safe."
"Timesheets!!","Folks, half the team hasn't submitted timesheets yet. Payroll runs tomorrow. Please do this NOW."
"Re: Quarterly Goals","I think the target for Q3 is too aggressive given the current headcount. Let's discuss in the weekly sync."
"SSL Certificate Warning","Users are reporting a 'Not Secure' warning when visiting the landing page. Did the SSL cert auto-renew fail?"
"Parking spot dispute","Someone keeps parking in my assigned spot (Bay 42). It's a blue Ford. Can we send a blast email?"
"Who has the test device?","Who has the test iPad? I need to QA the mobile build. It's not in the device lab."
"Lunch & Learn: AI Tools","Join us next Wednesday for a session on how to use the new AI coding assistants. Pizza provided."
"CRM is crawling","Salesforce is loading incredibly slowly today. It's taking 2 minutes to save a lead. Is this a known issue?"
"Out of office contact","I'm out on vacation for the next two weeks. Please reach out to Mark for any urgent urgent deliverables."
"Spilled water on laptop","Major fail. I knocked a glass of water onto my keyboard. Turned it off immediately. What do I do?"
"Inventory check","We need to do a hardware inventory next week. Please bring all company devices (phones, tablets) to the IT desk."
"Late for standup","Train is stuck between stations. Will be 15 mins late for the morning standup. Start without me."
"Re: User retention stats","The numbers in this report don't match what I see in Google Analytics. Are we filtering out internal traffic?"
"Mouse battery dead","Does the supply closet have AA batteries? My mouse just died."
"Deployment failed - rollback","The v2.4 deployment failed health checks. Automated rollback initiated. We need a post-mortem on this."
"Customer requesting refund","Ticket #9928: Customer is very angry about the downtime and demanding a full refund. Need a manager to step in."
"Tax documents","Where can I download my W2 form? The HR portal link seems broken."
"Microwave smell","Someone burnt popcorn in the kitchen microwave again. The whole floor smells like burnt toast. Please be careful!"
"Update your drivers","PSA: If you are experiencing screen flickering, please update your graphics drivers. The fix was pushed yesterday."
"Lost badge","I think I dropped my badge on the bus. Can you deactivate it just in case?"
"Backup tapes","Are we still rotating physical backup tapes or is everything cloud now? Found a box of tapes in the archive room."
"Can't find the shared folder","I have access to the 'Marketing' drive, but I can't see the '2024 Assets' folder. Did it get moved?"
"Phishing test results","Results from the fake phishing campaign are in... 15% of you clicked the link. We need to schedule more training."
"New feature idea","Had a crazy idea for the dashboard widget. Can we grab coffee for 10 mins to brainstorm?"
"Toilet plumbing issue","The men's restroom on the 2nd floor is flooding. Water is coming out into the hallway. Urgent."
"Domain renewal","The domain name for the microsite expires in 3 days. Who has the credit card for the registrar?"
